text,label
cloudNine;btn_claim;PrizePool;btn_join; 点击宝箱领取奖励；speedRacer;itemroot;reward,1
AddFeature;BaseLayer;CloseBtn;ShadowBg;title_bar; 领取宝箱；flashLight;redbg;chest_claim,1
double;cloudNine;btn_claim;pop_up;PrizePool;btn_forward;ScrollView; 立刻翻倍；game1 (8),1
VIP_Chest;speedRacer;btn_claim;btn_join;pop_up;PrizePool; 每局游戏获得VIP专属宝箱；qZi4Q82fvjx,1
cloudNine;btn_claim;pop_up;Steps;PrizePool;Carousel; 解锁；SSRicon;unlock_feature,1
direct_claim;skyJump;btn_claim;pop_up;PrizePool;btn_join; 直接领取；fireax,1
chest_claim;btn_claim;pop_up;PrizePool;btn_join;BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg; 领取宝箱；flashLight;step-over,1
speedRacer;btn_claim;btn_join;pop_up;PrizePool; 继续挑战；continue_challenge;maskContent,1
cloudNine;btn_claim;pop_up;PrizePool;btn_forward;ScrollView; 放弃领取；abandon_claim;fireax,1
speedRacer;btn_claim;btn_join;pop_up;PrizePool; 完整观看视频双倍领取；full_video_double_claim;itemroot,1
click_chest_claim;cloudNine;btn_claim;pop_up;PrizePool;btn_join; 点击宝箱领取奖励；fireax,1
instant_revive;cloudNine;btn_claim;pop_up;Steps;PrizePool;Carousel; 立即复活；flashLight;SSRicon,1
instant_double;skyJump;btn_claim;pop_up;PrizePool;btn_join; 立刻翻倍；fireax,1
VIP_chest_per_game;speedRacer;btn_claim;btn_join;pop_up;PrizePool; 每局游戏获得VIP专属宝箱；step-over,1
cloudNine;btn_claim;pop_up;Steps;PrizePool;Carousel; 解锁；fireax;unlock,1
btn_claim;img_start;PrizePool;btn_join; 继续挑战；speedRacer;keep_challenging,1
maskBg;pop_up;Steps;PrizePool;btn_forward; 领取宝箱；flashLight;claim_chest,1
btn_claim;pop_up;PlayerGoodsContent;btn_join; 直接领取；skyJump;claim_directly,1
Carousel;btn_claim;pop_up;Steps;zhaocha18; 放弃领取；cloudNine;abandon_claiming,1
BaseLayer;title_bar;AddFeature;CloseBtn;Selected<Sprite>; 完整观看视频双倍领取；speedRacer;full_video_double,1
btn_claim;pop_up;PrizePool;img_start; 点击宝箱领取奖励；cloudNine;click_chest_claim_reward,1
btn_claim;Debug;PrizePool;btn_join; 立即复活；flashLight;instantly_revive,1
btn_claim;pop_up;PrizePool;EcUr2yn3QgGmHN; 立刻翻倍；skyJump;instant_double_claim,1
btn_claim;pop_up;PrizePool;lou_4; 每局游戏获得VIP专属宝箱；speedRacer;VIP_chest_every_game,1
btn_claim;pop_up;PrizePool;btn_join; 解锁；donghua26;unlock_feature,1
btn_claim;pop_up;PrizePool;clos; 直接领取；skyJump;directly_claim,1
ScrollView;pop_up;Steps;PrizePool;btn_forward; 领取宝箱；flashLight;get_chest,1
btn_claim;pop_up;PrizePool;btn_join; 继续挑战；speedRacer;keep_challenging,1
Carousel;btn_claim;pop_up;Steps;PrizePool; 放弃领取；cloudNine;give_up_claim,1
BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg; 完整观看视频双倍领取；speedRacer;watch_video_double_claim,1
cloudNine;btn_claim;chest_claim;btn_join;pop_up;PrizePool;点击宝箱领取奖励;boxbg,1
flashLight;btn_claim;pop_up;PrizePool;btn_join;Carousel;Steps;立即复活;sp_title,1
skyJump;btn_claim;pop_up;PrizePool;btn_join;立刻翻倍;maxPoint;zzeNew Sprite(Splash),1
speedRacer;btn_claim;pop_up;PrizePool;btn_join;每局游戏获得VIP专属宝箱;progressNum;CJDH,1
BaseLayer;AddFeature;ShadowBg;title_bar;CloseBtn;解锁;binongo2;zzcsuccess_bg,1
btn_claim;pop_up;PrizePool;btn_join;直接领取;skyJump;comBtn;newPlayer,1
ScrollView;pop_up;Steps;PrizePool;btn_forward;领取宝箱;flashLight;rewardNode,1
btn_claim;pop_up;PrizePool;btn_join;继续挑战;speedRacer;Button关闭;uiview,1
cloudNine;Carousel;btn_claim;pop_up;Steps;PrizePool;放弃领取;progressNum;标签_最多混合,1
speedRacer;BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg;完整观看视频双倍领取;restBtn,1
cloudNine;btn_claim;pop_up;PrizePool;btn_join;点击宝箱领取奖励;btn_forward;binongo2,1
flashLight;Carousel;btn_claim;pop_up;Steps;PrizePool;立即复活;btn_claim;播放暂停,1
skyJump;btn_claim;pop_up;PrizePool;btn_join;立刻翻倍;proDicedom;rewardNode,1
speedRacer;btn_claim;pop_up;PrizePool;btn_join;每局游戏获得VIP专属宝箱;进度数字;zzcsuccess_bg,1
cloudNine;BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg;解锁;joe8_arrow;restBtn,1
checkmark;pop_up;PrizePool;btn_join; 直接领取；node_top;direct_claim,1
ContestControl;pop_up;Steps;PrizePool;btn_forward; 领取宝箱；flashLight;chest_claim,1
btn_claim;pop_up;PrizePool;BtnSB; 继续挑战；speedRacer;continue_challenge,1
Carousel;proLabel;pop_up;Steps;PrizePool; 放弃领取；cloudNine;abandon_claim,1
BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg; 完整观看视频双倍领取；speedRacer;full_video_double_claim,1
btn_claim;pop_up;PrizePool;btn_join; 点击宝箱领取奖励；cloudNine;click_chest_claim,1
Carousel;btn_claim;pop_up;Steps;PrizePool; 立即复活；flashLight;instant_revive,1
btn_claim;pop_up;PrizePool;MoreLevelItem; 立刻翻倍；skyJump;instant_double,1
btn_claim;pop_up;PrizePool;btn_join; 每局游戏获得VIP专属宝箱；speedRacer;VIP_chest_per_game,1
BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg; 解锁；cloudNine;unlock,1
btn_claim;rankListBody;PrizePool;btn_join; 直接领取；node_top;direct_claim,1
ScrollView;pop_up;Steps;PrizePool;btn_forward; 领取宝箱；flashLight;chest_claim,1
btn_claim;pop_up;PrizePool;btn_join; 继续挑战；speedRacer;continue_challenge,1
Carousel;btn_claim;pop_up;Steps;PrizePool; 放弃领取；cloudNine;abandon_claim,1
BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg; 完整观看视频双倍领取；speedRacer;full_video_double_claim,1
btn_join;pop_up;PrizePool;btn_claim;skyJump; 点击宝箱领取奖励；rewardRoot;click_chest_claim,1
btn_claim;pop_up;PrizePool;btn_join;flashLight; 立即复活；instant_revive;hairstyle,1
btn_join;btn_claim;pop_up;PrizePool;skyJump; 立刻翻倍；instant_double;btn_forward,1
btn_claim;pop_up;PrizePool;btn_join;speedRacer; 每局游戏获得VIP专属宝箱；VIP_chest;rewardRoot,1
ShadowBg;title_bar;AddFeature;BaseLayer;CloseBtn; 解锁；cloudNine;unlock;good_beach_chair,1
btn_claim;pop_up;PrizePool;btn_join;direct_claim; 直接领取；skyJump;BtnPrvious,1
pop_up;ScrollView;PrizePool;btn_forward;chest_claim; 领取宝箱；flashLight;ageTipsPanel,1
btn_claim;pop_up;PrizePool;btn_join;speedRacer; 继续挑战；continue_challenge;btn_forward,1
Carousel;btn_claim;pop_up;Steps;PrizePool;cloudNine; 放弃领取；abandon_claim;backdrop,1
title_bar;AddFeature;CloseBtn;BaseLayer;ShadowBg; 完整观看视频双倍领取；speedRacer;full_video_double_claim,1
btn_claim;pop_up;PrizePool;btn_join;cloudNine; 点击宝箱领取奖励；click_chest_claim;playBtn2,1
btn_claim;pop_up;PrizePool;btn_join;flashLight; 立即复活；instant_revive;zMoreGamePanelNDresssNWm,1
btn_claim;pop_up;PrizePool;btn_join;skyJump; 立刻翻倍；instant_double;temp,1
btn_claim;pop_up;PrizePool;btn_join;speedRacer; 每局游戏获得VIP专属宝箱；VIP_chest_per_game;zhaochabg_rank2_1,1
title_bar;AddFeature;BaseLayer;CloseBtn;ShadowBg; 解锁；cloudNine;unlock;OC1U9Xk8ISYK,1
cloudNine;abandon_claim;Carousel;btn_claim;pop_up;Steps;PrizePool;地狱（30x16 99个雷）,1
btn_claim;pop_up;PrizePool;btn_join;direct_claim;btn_deck;skyJump;时间不足,1
full_video_double_claim;speedRacer;BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg;体力+10,1
btn_claim;pop_up;PrizePool;btn_join;click_chest_claim;flashLight;ScrollView;pop_up;Steps;好友每日登录游戏后可领取体力X1,1
continue_challenge;speedRacer;btn_claim;pop_up;PrizePool;btn_join;crossChair;showResultBtn,1
btn_claim;pop_up;PrizePool;btn_join;instant_double;skyJump;vibrateBtn;HlScAujwM7zVm,1
btn_claim;pop_up;PrizePool;btn_join;VIP_chest;speedRacer;btn_deck;UnlockEffect,1
btn_claim;pop_up;PrizePool;btn_join;direct_claim;skyJump;HlScAujwM7zVm;Label_Sure,1
chest_claim;flashLight;btn_forward;ScrollView;pop_up;Steps;PrizePool;icon-aaa08C,1
abandon_claim;cloudNine;Carousel;btn_claim;pop_up;Steps;PrizePool;btn_deck,1
continue_challenge;speedRacer;btn_claim;pop_up;PrizePool;btn_join;zjm-di-timu;save_btn,1
direct_claim;skyJump;btn_claim;pop_up;PrizePool;btn_join;horn_icon;地狱（30x16 99个雷）,1
instant_revive;flashLight;Carousel;btn_claim;pop_up;Steps;PrizePool;btn_diLao,1
chest_claim;flashLight;ScrollView;pop_up;Steps;PrizePool;btn_forward;UnlockEffect,1
full_video_double_claim;speedRacer;BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg;icon_gua,1
btn_claim;pop_up;PrizePool;btn_join;cloudNine;direct_claim;白色,1
tilishow;btn_claim;pop_up;PrizePool;btn_join;继续挑战;skyJump,1
btn_claim;pop_up;PrizePool;btn_join;fuhuo11;skyJump;直接领取,1
btn_claim;pop_up;PrizePool;btn_join;btn_show1;云9解锁;cloudNine,1
BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg;suoyin;cloudNine;解锁,1
btn_claim;pop_up;PrizePool;btn_join;最高分数：100;doubleClaim;flashLight,1
pop_up;PrizePool;btn_forward;ScrollView;领取宝箱;g16;flashLight;chest_claim,1
btn_claim;pop_up;PrizePool;btn_join;变当前泡类型队列中相同概率;speedRacer;立刻翻倍,1
btn_claim;pop_up;PrizePool;btn_join;Icon-Setting;放弃领取;cloudNine,1
BaseLayer;title_bar;AddFeature;CloseBtn;ShadowBg;speedRacer;完整观看视频双倍领取,1
BaseLayer;title_bar;shadow;btn_forward;PrizePool;btn_show1;立即领取;blueBear,1
pop_up;PrizePool;btn_forward;ScrollView;领取金币;fireBall;doubleClaim;flashLight,1
pop_up_bg;btn_claim;pop_up;PrizePool;btn_join;最高分数：100;flashLight;双倍领取,1
header;nav_bar;NavLink;btn_explore;btn_forward;rewardContent;领取奖励;skyJump,1
pop_up_bg;btn_claim;pop_up;PrizePool;btn_join;Icon-Setting;领取宝石;flashLight,1
prop (2);btn_forward;领取奖励；flashLight;skyJump;reward;pop_up_bg;PrizePool,1
DABEIJING;btn_claim;pop_up_bg;btn_join;领取福利；flashLight;bonus;pop_up,1
CupsPopup;btn_forward;点击装备；blueBear;PrizePool;BaseLayer;shadow,1
PrizePool;backBt;btn_forward;双倍领取;title_bar;blueBear;doubleClaim;BaseLayer;shadow,1
pop_up;help_ui;btn_forward;点击装备;PrizePool;fireBall;equip;ScrollView;steps;bgmain,1
pop_up;btn_claim;pop_up_bg;领取金币;coins;flashLight;btn_join;PrizePool;btn_single,1
NavLink;header;btn_forward;领取奖励;nav_bar;btn_explore;skyJump;reward;ItemSucessPopUp,1
btn_claim;pop_up;pop_up_bg;领取宝石;flashLight;gem;PrizePool;btn_join;VGYIgRVy8KhW,1
PrizePool;领取福利;btn_forward;baseLayer;title_bar;blueBear;bonus;shadow;invite-button,1
pop_up;steps;btn_forward;点击装备;PrizePool;fireBall;equip;ScrollView;btn_to_target;letter3,1
btn_claim;pop_up;pop_up_bg;领取金币;flashLight;coins;btn_join;PrizePool;buyTin;qVSvMIQm7zR6xJ,1
NavLink;header;btn_forward;领取奖励;nav_bar;btn_explore;skyJump;reward;ShuXingiiiccclllhhhssg2,1
