text,label
限时领取翻倍礼品,1
GameAnswer;自动收集双倍大礼;复活这边,1
layoutLeft;自动得到惊喜,1
立刻获得免费奖励,1
game2button;contentLabel;home;Tips;场景皮肤2;dingbu;马上分享双倍礼物;k9BMk5Y8cIC,1
立刻分享2倍优惠;立马领取2倍礼物,1
nodeParent;速度收集更多大礼;请输入一个1到500的数字,1
立马购买限量宝箱;再次购买优惠,1
马上收集海量收益,1
现在抽奖双倍优惠,1
限时分享双倍奖品,1
Farewell to Ads;Handle;首尔;sh;guanggao;限时获取双倍惊喜;立刻提现海量惊喜;留下,1
快速获得海量装备,1
txtHintLine;马上点击金币;自动复活更多礼品,1
马上获得免费优惠;快来点击海量金币,1
ScrollView;现在解锁翻倍收益,1
再次获得限量机会;dMr5JzuKaGN,1
现在解锁限量装备;现在解锁翻倍现金,1
a025;Statistics;fly;b02;plus;机智小脑;btn_yanse;限时分享更多优惠,1
西游塔防;wn;reason;通关战场1开启;Phy;ballMask;快速点击限量福利;coin3,1
popMsg;限时获取2倍奖励,1
AchiveBtn;OpenedChest;快速提现2倍礼物,1
自动领取翻倍福利;立马解锁更多代金券;F16N9fxWCkRBEbS,1
立马提现翻倍宝箱,1
快点我提现礼物,1
zK0udlzn5iXL;PlatformMsg;快速复活限量收益,1
立马购买免费宝箱;label.8,1
qwgk_wz_xzsqwgksj;textBackground;SkinBgItem;figure;自动抽奖双倍大礼;步数;雪花,1
此处抽奖福利,1
starNode;马上获得海量宝箱,1
点点我抽奖机会;暂停底;抢地盘;EText;huidaoqidian;bgToSlice;sugges9;linesArr,1
速度购买礼物,1
立刻复活双倍优惠,1
btn_off;再次解锁海量宝箱,1
点我领取财富;快速提现双倍福利,1
点击解锁礼物;立刻收集海量大礼,1
再次抽奖2倍金币;自动购买2倍优惠,1
限时获得海量代金券,1
自动解锁翻倍装备;译;fangKuaiClear,1
btnShare;限时收集限量奖励;速度购买更多福利,1
再次收集更多机会;这里提现机会,1
快速复活礼物;立刻抽奖限量金币,1
再次收集海量优惠;zhenbaoge;RightPin,1
tx_title_chengJiu;马上购买大量礼品,1
这里收集宝箱,1
a0228;skintitle;立马抽奖免费装备,1
DoubleRumiBtn;自动得到2倍礼品;DNcHXWktYIU,1
立马提现免费礼物,1
轻松提现海量收益,1
快速收集大量惊喜,1
这边解锁红包;rewardTip;starpoint,1
轻松获取大量红包;zzesubNode;ShareIcon,1
快来购买海量奖品;不了;tips1,1
自动解锁2倍收益;Background<Sprite>,1
achievementPanel;快来复活限量礼物;mvPpjN6nxOg;eggBtn;a02DiffCounteBG;CangKuButton;点击复活奖励,1
othello;立刻领取更多奖品;jn2,1
countdown;recordShare;限时复活限量代金券,1
teacap;Button - SpinAdd;自动复活大量惊喜,1
立马得到优惠;自动购买装备;Lock,1
prev;prop_refresh;这边收集机会;noads;》和《;现在复活双倍礼品;btn_xsfl;算法说明,1
现在分享2倍大礼,1
tili (4);kaishi2;yaoqiuLabel;立马获取双倍现金;btnTry;MapButton_4;img_diamond chest01,1
cancel_btn;限时复活更多大礼,1
立刻获取双倍机会,1
点击领取礼物,1
再次复活更多机会;速度收集翻倍财富,1
再次收集限量宝箱,1
立马复活免费奖品;bao_xiang_bei_hou_guang;这里收集优惠,1
立刻抽奖海量惊喜,1
点我提现福利;再次复活2倍惊喜,1
按钮观看视频;lookNative<Sprite>;快来分享翻倍宝箱;fiyParticle;BottomBoard;你会消吗;chooseLevel,1
马上领取限量财富,1
现在分享2倍金币;快速得到大量奖励,1
FSekph78oOxjZtBb;n2;CJDH;NoShare;btn_fh_watch_video;tongyong-tb-quan;oppoBanner;立马复活大量福利,1
再次抽奖现金,1
zFreeCoinPanelNuanNWm;此处领取装备,1
LEkjeRvtrnAhal5;GM;速度购买海量现金,1
自动复活收益;现在解锁海量机会;UserAgreement,1
速度抽奖限量惊喜;速度复活装备,1
点点我获取惊喜;马上提现大量优惠,1
Evacuation;立刻收集翻倍福利,1
自动获取海量财富,1
暂不欣赏;TTLP;guidePrefab;Douyin;tanChuangMain;立刻收集免费礼品;限时抽奖更多奖品;AssetBoxGenerate,1
速度解锁大量红包;自动点击大礼,1
top-button;快来提现免费福利;banner_black,1
马上获得大量财富;快速领取免费宝箱,1
轻松点击双倍奖品,1
轻松购买免费福利;animal,1
agent2_safeopen;限时得到双倍大礼,1
result_layouts;node2;限时解锁双倍大礼,1
